*** PreOrder Traversal: 
(color: 5, upperR: 0, upperC: 0, NWkid's color: 5, NEkid's color: 5, SWkid's color: 0, SEkid's color: 0)-->
(color: 5, upperR: 0, upperC: 0, NWkid's color: 5, NEkid's color: 5, SWkid's color: 5, SEkid's color: 5)-->
(color: 5, upperR: 0, upperC: 0, NWkid's color: 0, NEkid's color: 0, SWkid's color: 5, SEkid's color: 5)-->
(color: 0, upperR: 0, upperC: 0, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 0, upperR: 0, upperC: 8, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 5, upperR: 8, upperC: 0, NWkid's color: 5, NEkid's color: 5, SWkid's color: 5, SEkid's color: 5)-->
(color: 5, upperR: 8, upperC: 0, NWkid's color: 0, NEkid's color: 0, SWkid's color: 5, SEkid's color: 5)-->
(color: 0, upperR: 8, upperC: 0, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 0, upperR: 8, upperC: 2, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 5, upperR: 10, upperC: 0, NWkid's color: 0, NEkid's color: 0, SWkid's color: 1, SEkid's color: 1)-->
(color: 0, upperR: 10, upperC: 0, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 0, upperR: 10, upperC: 1, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 1, upperR: 11, upperC: 0, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 1, upperR: 11, upperC: 1, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 5, upperR: 10, upperC: 2, NWkid's color: 0, NEkid's color: 0, SWkid's color: 1, SEkid's color: 1)-->
(color: 0, upperR: 10, upperC: 2, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 0, upperR: 10, upperC: 3, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 1, upperR: 11, upperC: 2, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 1, upperR: 11, upperC: 3, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 5, upperR: 8, upperC: 4, NWkid's color: 0, NEkid's color: 0, SWkid's color: 5, SEkid's color: 5)-->
(color: 0, upperR: 8, upperC: 4, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 0, upperR: 8, upperC: 6, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 5, upperR: 10, upperC: 4, NWkid's color: 0, NEkid's color: 0, SWkid's color: 1, SEkid's color: 1)-->
(color: 0, upperR: 10, upperC: 4, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 0, upperR: 10, upperC: 5, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 1, upperR: 11, upperC: 4, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 1, upperR: 11, upperC: 5, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 5, upperR: 10, upperC: 6, NWkid's color: 0, NEkid's color: 0, SWkid's color: 1, SEkid's color: 1)-->
(color: 0, upperR: 10, upperC: 6, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 0, upperR: 10, upperC: 7, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 1, upperR: 11, upperC: 6, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 1, upperR: 11, upperC: 7, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 5, upperR: 12, upperC: 0, NWkid's color: 5, NEkid's color: 5, SWkid's color: 5, SEkid's color: 5)-->
(color: 5, upperR: 12, upperC: 0, NWkid's color: 0, NEkid's color: 0, SWkid's color: 1, SEkid's color: 1)-->
(color: 0, upperR: 12, upperC: 0, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 0, upperR: 12, upperC: 1, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 1, upperR: 13, upperC: 0, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 1, upperR: 13, upperC: 1, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 5, upperR: 12, upperC: 2, NWkid's color: 0, NEkid's color: 0, SWkid's color: 1, SEkid's color: 1)-->
(color: 0, upperR: 12, upperC: 2, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 0, upperR: 12, upperC: 3, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 1, upperR: 13, upperC: 2, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
(color: 1, upperR: 13, upperC: 3, NWkid's color: -1, NEkid's color: -1, SWkid's color: -1, SEkid's color: -1)-->
